"pincode","city","state_code","cod","prepaid","pickup","zone"
"110112","Delhi","Delhi","Y","Y","Y","Z4"
"110113","Delhi","Delhi","Y","Y","Y","Z4"
"110114","NEW DELHI","DELHI","Y","Y","Y","Z4"
"110115","Delhi","Delhi","Y","Y","Y","Z4"
"110116","Delhi","Delhi","Y","Y","Y","Z4"
"110117","Delhi","Delhi","Y","Y","Y","Z4"
"110118","Delhi","Delhi","Y","Y","Y","Z4"
"110119","New Delhi","Delhi","Y","Y","Y","Z4"
"110120","Delhi","Delhi","Y","Y","Y","Z4"
"110121","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"110122","New Delhi","Delhi","Y","Y","Y","Z4"
"110124","New Delhi","Delhi","Y","Y","Y","Z4"
"110125","Delhi","Delhi","Y","Y","Y","Z4"
"110151","#N/A","#N/A","Y","Y","N","Z4"
"110200","Delhi","Delhi","Y","Y","N","Z4"
"110201","DELHI","DELHI","N","Y","N","Z4"
"110202","Delhi","Delhi","N","Y","N","Z4"
"110203","DELHI","DELHI","N","Y","N","Z4"
"110204","Delhi","Delhi","N","Y","N","Z4"
"110205","DELHI","DELHI","N","Y","N","Z4"
"110206","Delhi","Delhi","N","Y","N","Z4"
"110207","DELHI","DELHI","N","Y","N","Z4"
"110208","Delhi","Delhi","N","Y","N","Z4"
"110301","DELHI","DELHI","Y","Y","Y","Z4"
"110302","New Delhi","Delhi","Y","Y","Y","Z4"
"110401","Delhi","Delhi","Y","Y","Y","Z4"
"110402","NEW DELHI","Delhi","Y","Y","Y","Z4"
"110403","Delhi","Delhi","Y","Y","Y","Z4"
"110501","Delhi","Delhi","Y","Y","Y","Z4"
"110502","New Delhi","Delhi","Y","Y","Y","Z4"
"110503","New Delhi","Delhi","Y","Y","Y","Z4"
"110504","Delhi","Delhi","Y","Y","Y","Z4"
"110505","New Delhi","Delhi","Y","Y","Y","Z4"
"110506","New Delhi","Delhi","Y","Y","Y","Z4"
"110507","Delhi","Delhi","Y","Y","Y","Z4"
"110508","Delhi NCR","DELHI","Y","Y","Y","Z4"
"110509","Delhi","Delhi","Y","Y","Y","Z4"
"110510","Delhi","Delhi","Y","Y","Y","Z4"
"110511","Delhi","Delhi","Y","Y","Y","Z4"
"110512","New Delhi","Delhi","Y","Y","Y","Z4"
"110601","Delhi","Delhi","Y","Y","Y","Z4"
"110602","New Delhi","Delhi","Y","Y","Y","Z4"
"110603","New Delhi","Delhi","Y","Y","Y","Z4"
"110604","New Delhi","Delhi","Y","Y","Y","Z4"
"110605","New Delhi","Delhi","Y","Y","Y","Z4"
"110606","New Delhi","Delhi","Y","Y","Y","Z4"
"110607","Delhi","Delhi","Y","Y","Y","Z4"
"110608","Delhi","Delhi","Y","Y","Y","Z4"
"110609","New Delhi","Delhi","Y","Y","Y","Z4"
"110610","Delhi","Delhi","N","Y","N","Z4"
"110611","DELHI","DELHI","N","Y","N","Z4"
"111000","Delhi Ncr","Delhi","N","N","Y","Z4"
"111001","Delhi","Delhi","N","Y","N","Z4"
"111100","Delhi Ncr","Delhi","N","N","Y","Z4"
"111105","Delhi","Delhi","Y","Y","Y","Z4"
"111110","Delhi Ncr","Delhi","N","Y","Y","Z4"
"111111","Delhi Ncr","Delhi","N","N","Y","Z4"
"111112","Delhi","Delhi","Y","Y","Y","Z4"
"111114","DELHI","DELHI","Y","Y","Y","Z4"
"111119","Delhi","Delhi","N","N","Y","Z4"
"111120","Delhi","Delhi","Y","Y","Y","Z4"
"111121","Delhi","Delhi","Y","Y","Y","Z4"
"114145","Vijaypur","Jammu And Kashmir","Y","Y","Y","Z4"
"116019","DELHI","DELHI","Y","Y","Y","Z4"
"119199","Delhi","Delhi","N","Y","N","Z4"
"120001","Gurgaon","Haryana","Y","Y","Y","Z4"
"120002","Gurgaon","Haryana","Y","Y","Y","Z4"
"120004","FARIDABAD","HARYANA","Y","Y","N","Z4"
"121000","Faridabad","Haryana","Y","Y","Y","Z4"
"121001","Faridabad","Haryana","Y","Y","Y","Z4"
"121002","Faridabad","Haryana","Y","Y","Y","Z4"
"121003","Faridabad","Haryana","Y","Y","Y","Z4"
"121004","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"121005","Faridabad","Haryana","Y","Y","Y","Z4"
"121006","Faridabad","Haryana","Y","Y","Y","Z4"
"121007","DELHI NCR","DELHI","Y","Y","Y","Z4"
"121008","Faridabad","Haryana","Y","Y","Y","Z4"
"121009","Faridabad","Haryana","Y","Y","Y","Z4"
"121010","Faridabad","Haryana","Y","Y","Y","Z4"
"121011","Faridabad","Haryana","Y","Y","Y","Z4"
"121012","Faridabad","Haryana","Y","Y","Y","Z4"
"121013","Faridabad","Haryana","Y","Y","Y","Z4"
"121014","Faridabad","Haryana","Y","Y","Y","Z4"
"121015","Faridabad","Haryana","Y","Y","Y","Z4"
"121101","Faridabad","Haryana","Y","Y","Y","Z4"
"121102","Palwal","Haryana","Y","Y","Y","Z4"
"121103","Palwal","Haryana","Y","Y","Y","Z4"
"121104","Ballabgarh","Haryana","Y","Y","Y","Z4"
"121105","Palwal","Haryana","Y","Y","Y","Z4"
"121106","Hodal","Haryana","Y","Y","Y","Z4"
"121107","Hodal","Haryana","Y","Y","Y","Z4"
"121206","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"121705","Mau","Uttar Pradesh","Y","Y","Y","Z4"
"122000","Gurgaon","Haryana","Y","Y","Y","Z4"
"122001","Gurgaon","Haryana","Y","Y","Y","Z4"
"122002","Delhi NCR","NCR","Y","Y","Y","Z4"
"122003","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122004","Gurgaon","Haryana","Y","Y","Y","Z4"
"122005","Gurugram","Haryana","Y","Y","Y","Z4"
"122006","Gurgaon","Haryana","Y","Y","Y","Z4"
"122007","Gurgaon","Haryana","Y","Y","Y","Z4"
"122008","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122009","Gurugram","Haryana","Y","Y","Y","Z4"
"122010","Gurgaon","Haryana","Y","Y","Y","Z4"
"122011","Gurgaon","Haryana","Y","Y","Y","Z4"
"122012","Gurgaon","Haryana","Y","Y","Y","Z4"
"122013","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122014","Gurgaon","Haryana","Y","Y","Y","Z4"
"122015","Gurgaon","Haryana","Y","Y","Y","Z4"
"122016","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122017","Delhi NCR","DELHI","Y","Y","Y","Z4"
"122018","Gurgaon","Haryana","Y","Y","Y","Z4"
"122019","Gurgaon","Haryana","Y","Y","Y","Z4"
"122020","Gurgaon","Haryana","Y","Y","Y","Z4"
"122021","Gurgaon","Haryana","Y","Y","Y","Z4"
"122022","Gurgaon","Haryana","Y","Y","Y","Z4"
"122023","Gurgaon","Haryana","N","Y","Y","Z4"
"122024","Gurgaon","Haryana","N","Y","Y","Z4"
"122025","Gurgaon","Haryana","N","Y","Y","Z4"
"122026","GURGAON","HARYANA","Y","Y","Y","Z4"
"122027","Gurgaon","Haryana","N","Y","Y","Z4"
"122028","Gurgaon","Haryana","N","Y","Y","Z4"
"122029","Gurgaon","Haryana","N","Y","Y","Z4"
"122030","Gurgaon","Haryana","N","Y","Y","Z4"
"122031","Gurgaon","Haryana","N","Y","Y","Z4"
"122032","GURGAON","HARYANA","Y","Y","Y","Z4"
"122033","Gurgaon","Haryana","Y","Y","Y","Z4"
"122050","Manesar","Haryana","Y","Y","Y","Z4"
"122051","Manesar","Haryana","Y","Y","Y","Z4"
"122052","Gurgaon","Haryana","Y","Y","Y","Z4"
"122053","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122054","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122055","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122098","Gurugram","Haryana","Y","Y","Y","Z4"
"122100","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122101","Gurgaon","Haryana","Y","Y","Y","Z4"
"122102","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122103","Gurgaon","Haryana","Y","Y","Y","Z4"
"122104","GURGAON","HARYANA","Y","Y","Y","Z4"
"122105","Dharuhera","Haryana","Y","Y","Y","Z4"
"122106","Bhiwadi","Rajasthan","Y","Y","Y","Z4"
"122107","Nuh","Haryana","Y","Y","Y","Z4"
"122108","Nuh","Haryana","Y","Y","Y","Z4"
"122109","Gurgaon","Haryana","Y","Y","Y","Z4"
"122110","Bhiwadi","Rajasthan","Y","Y","Y","Z4"
"122203","Gurgaon","Haryana","Y","Y","Y","Z4"
"122204","Gurgaon","Haryana","Y","Y","Y","Z4"
"122206","Gurgaon","Haryana","Y","Y","Y","Z4"
"122207","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122208","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122209","Gurgaon","Haryana","Y","Y","Y","Z4"
"122210","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122211","Gurgaon","Haryana","Y","Y","Y","Z4"
"122213","Gurgaon","Haryana","Y","Y","Y","Z4"
"122214","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122215","Gurgaon","Haryana","Y","Y","Y","Z4"
"122216","Gurgaon","Haryana","Y","Y","Y","Z4"
"122217","Delhi NCR","DELHI","Y","Y","Y","Z4"
"122218","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122219","Gurgaon","Haryana","Y","Y","Y","Z4"
"122220","Gurgaon","Haryana","Y","Y","Y","Z4"
"122223","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122224","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122225","Gurgaon","Haryana","Y","Y","Y","Z4"
"122226","Gurgaon","Haryana","Y","Y","Y","Z4"
"122227","GURGAON","HARYANA","Y","Y","Y","Z4"
"122228","Delhi NCR","DELHI","Y","Y","Y","Z4"
"122229","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122230","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122231","Gurgaon","Haryana","Y","Y","Y","Z4"
"122232","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122233","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122234","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122412","Manesar","Haryana","N","N","Y","Z4"
"122413","Manesar","Haryana","Y","Y","Y","Z4"
"122414","Bilaspur-Hr","Haryana","Y","Y","Y","Z4"
"122502","Bhiwadi","Haryana","Y","Y","Y","Z4"
"122503","Bilaspur-Hr","Haryana","Y","Y","Y","Z4"
"122504","Dharuhera","Haryana","Y","Y","Y","Z4"
"122505","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"122506","Farukhanagar","Haryana","Y","Y","Y","Z4"
"122508","Hodal","Haryana","Y","Y","Y","Z4"
"123001","Narnaul","Haryana","Y","Y","Y","Z4"
"123003","Jhajjar","Haryana","Y","Y","Y","Z4"
"123021","Narnaul","Haryana","Y","Y","Y","Z4"
"123023","Narnaul","Haryana","Y","Y","Y","Z4"
"123024","Loharu","Haryana","Y","Y","Y","Z4"
"123027","Mahendragarh","Haryana","Y","Y","Y","Z4"
"123028","Mahendragarh","Haryana","Y","Y","Y","Z4"
"123029","Mahendragarh-Hr","Haryana","Y","Y","Y","Z4"
"123031","Mahendragarh-Hr","Haryana","Y","Y","Y","Z4"
"123034","Mahendragarh-Hr","Haryana","Y","Y","Y","Z4"
"123035","Rewari","Haryana","Y","Y","Y","Z4"
"123101","Rewari","Haryana","Y","Y","Y","Z4"
"123102","Rewari","Haryana","Y","Y","Y","Z4"
"123103","Rewari","Haryana","Y","Y","Y","Z4"
"123106","Daruhera","Haryana","Y","Y","Y","Z4"
"123110","Bhiwadi","Rajasthan","Y","Y","Y","Z4"
"123301","Rewari","Haryana","Y","Y","Y","Z4"
"123302","Rewari","Haryana","Y","Y","Y","Z4"
"123303","Rewari","Haryana","Y","Y","Y","Z4"
"123304","KOSLI","Haryana","N","Y","N","Z4"
"123305","Rewari","Haryana","Y","Y","Y","Z4"
"123401","Rewari","Haryana","Y","Y","Y","Z4"
"123402","Rewari","Haryana","Y","Y","N","Z4"
"123411","Rewari","Haryana","Y","Y","Y","Z4"
"123412","Rewari","Haryana","Y","Y","Y","Z4"
"123413","Bilaspur-Hr","Haryana","Y","Y","Y","Z4"
"123414","Bilaspur","Chattisgarh","Y","Y","Y","Z4"
"123501","Rewari","Haryana","Y","Y","Y","Z4"
"123502","Bhiwadi","Haryana","Y","Y","Y","Z4"
"123503","Bilaspur-Hr","Haryana","Y","Y","Y","Z4"
"123504","Gurgaon","Haryana","Y","Y","Y","Z4"
"123505","Gurugram","Haryana","Y","Y","Y","Z4"
"123506","Bilaspur-Hr","Haryana","Y","Y","Y","Z4"
"123507","Gurgaon","Haryana","Y","Y","Y","Z4"
"123508","Bilaspur-Hr","Haryana","Y","Y","Y","Z4"
"124001","Rohtak","Haryana","Y","Y","Y","Z4"
"124002","Rohtak","HARYANA","Y","Y","Y","Z4"
"124003","Rohtak","Haryana","Y","Y","Y","Z4"
"124004","Rohtak","Haryana","Y","Y","Y","Z4"
"124005","Rohtak","Haryana","Y","Y","Y","Z4"
"124006","Rohtak","Haryana","Y","Y","Y","Z4"
"124007","Rohtak","Haryana","Y","Y","Y","Z4"
"124008","ROHTAK","HARYANA","Y","Y","Y","Z4"
"124009","Rohtak","Haryana","Y","Y","Y","Z4"
"124010","Rohtak","Haryana","Y","Y","Y","Z4"
"124021","Rohtak","Haryana","Y","Y","Y","Z4"
"124022","Kalanaur","Haryana","Y","Y","Y","Z4"
"124023","Maham","Haryana","Y","Y","N","Z4"
"124024","Maham","Haryana","Y","Y","N","Z4"
"124025","ROHTAK","HARYANA","N","Y","N","Z4"
"124026","ROHTAK","HARYANA","N","Y","N","Z4"
"124027","ROHTAK","HARYANA","N","Y","N","Z4"
"124028","ROHTAK","HARYANA","N","Y","N","Z4"
"124029","ROHTAK","HARYANA","N","Y","N","Z4"
"124030","ROHTAK","HARYANA","N","Y","N","Z4"
"124031","ROHTAK","HARYANA","N","Y","N","Z4"
"124101","Jhajjar","Haryana","Y","Y","Y","Z4"
"124102","Jhajjar","Haryana","Y","Y","Y","Z4"
"124103","Jhajjar","Haryana","Y","Y","Y","Z4"
"124104","Jhajjar","Haryana","Y","Y","Y","Z4"
"124105","Jhajjar","Haryana","Y","Y","Y","Z4"
"124106","Jhajjar","Haryana","Y","Y","Y","Z4"
"124107","Jhajjar","Haryana","Y","Y","Y","Z4"
"124108","Pataudi","Haryana","Y","Y","Y","Z4"
"124109","Jhajjar","Haryana","Y","Y","Y","Z4"
"124110","MAHAM","Haryana","Y","Y","N","Z4"
"124111","Meham","Haryana","Y","Y","Y","Z4"
"124112","Meham","Haryana","Y","Y","Y","Z4"
"124113","Rohtak","Haryana","Y","Y","Y","Z4"
"124114","ROHTAK","Haryana","Y","Y","N","Z4"
"124122","BAHADURGARH","Haryana","N","Y","N","Z4"
"124127","Meham","Haryana","Y","Y","Y","Z4"
"124129","Meham","HARYANA","Y","Y","Y","Z4"
"124139","Charkhi Dadri","Haryana","Y","Y","Y","Z4"
"124141","Charkhi Dadri","Haryana","Y","Y","Y","Z4"
"124142","Chirya","Haryana","Y","Y","Y","Z4"
"124146","Rewari","Haryana","Y","Y","Y","Z4"
"124201","Jhajjar","Haryana","Y","Y","Y","Z4"
"124202","Jhajjar","Haryana","Y","Y","Y","Z4"
"124203","Jhajjar","Haryana","Y","Y","Y","Z4"
"124204","BAHADURGARH","HARYANA","Y","Y","N","Z4"
"124301","ROHTAK","Haryana","Y","Y","N","Z4"
"124302","ROHTAK","Haryana","Y","Y","N","Z4"
"124303","Rohtak","Haryana","Y","Y","Y","Z4"
"124304","ROHTAK","Haryana","Y","Y","N","Z4"
"124305","ROHTAK","Haryana","Y","Y","N","Z4"
"124401","Rohtak","Haryana","Y","Y","Y","Z4"
"124402","ROHTAK","Haryana","Y","Y","N","Z4"
"124404","Sonipat","Haryana","Y","Y","Y","Z4"
"124405","BAHADURGARH","Haryana","Y","Y","Y","Z4"
"124406","Rohtak","Haryana","Y","Y","Y","Z4"
"124409","ROHTAK","Haryana","Y","Y","N","Z4"
